n_training_sources,subset_index,model,test_sources,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
5,4,physics_residual_xgboost,3,117,10.842402043845237,12.901845784471535,0.5874626159101597,10.446764310201004,20.352610524495443
5,5,nnls_physics,3,49,26.504346789145956,39.61957526854695,0.46866527005377245,13.024093627929688,76.52520084381108
5,5,physics_residual_xgboost,3,49,26.641743132857236,41.24693142113896,0.4241201774851363,20.890095074971512,51.84872983296721
5,6,nnls_physics,3,31,29.705320758204305,37.512709728075315,0.24714068443053472,23.491256713867188,68.74425983428955
5,6,physics_residual_xgboost,3,31,23.654172947329855,34.98677606139574,0.34511535755827916,12.673553784688313,66.09503555297852
5,7,nnls_physics,3,76,16.736711138173153,22.10881433596589,0.2774624226098572,12.478618621826172,29.803612232208252
5,7,physics_residual_xgboost,3,76,11.14820268081926,20.596084361403765,0.37295478595244835,7.2587152322133335,14.946383078893025
5,8,nnls_physics,3,61,25.567484527337747,35.6171105657474,0.34526604103547553,17.566505432128906,48.887020111083984
5,8,physics_residual_xgboost,3,61,22.516229204222803,37.35344001192046,0.2798736448470971,11.063819090525307,40.88879521687825
5,9,nnls_physics,3,91,17.914554857945703,22.92566309816754,0.2149410536548083,14.628257751464844,39.58211135864258
5,9,physics_residual_xgboost,3,91,11.704384899137017,19.919618252735333,0.4073197198890125,7.402339855829872,19.435318628946945
5,10,nnls_physics,3,43,27.482988534971724,32.02134866176884,0.014293038027369476,22.805496215820312,48.86182479858398
5,10,physics_residual_xgboost,3,43,16.323303089412143,26.932384705930666,0.30270234629443404,9.845382491747536,25.717728598912583
5,11,nnls_physics,3,76,15.405620273790861,21.96197225215779,0.39215625604564497,10.05197525024414,34.63449478149414
5,11,physics_residual_xgboost,3,76,12.259256886154935,21.14214821823073,0.4366899487443896,7.764890670776367,19.036598046620682
5,12,nnls_physics,3,75,24.082092730204263,34.70083096900637,0.4422006505951772,14.845535278320312,58.985357666015645
5,12,physics_residual_xgboost,3,75,23.752987539437086,34.00010308515837,0.46450092951888255,17.49473635355632,44.398966089884446
5,13,nnls_physics,3,57,25.058050975464937,31.627922898656486,-0.5004977859271154,18.242584228515625,55.59281768798828
5,13,physics_residual_xgboost,3,57,21.370493137697032,26.709192977326214,-0.07007827742228856,15.188688596089676,49.10130716959635
5,14,nnls_physics,3,102,17.44543145684635,22.260495164967136,-0.21009086375217745,14.021541595458984,39.81813888549805
5,14,physics_residual_xgboost,3,102,11.109351298826581,15.289639809747584,0.4291226007780272,7.184509197870888,25.143638483683258
5,15,nnls_physics,3,87,23.759316301893914,32.30219045900522,0.3618586955907498,16.692703247070312,48.92699661254883
5,15,physics_residual_xgboost,3,87,18.89780506365344,30.877600993695797,0.41690406939095614,10.087115287780762,40.221093241373715
5,16,nnls_physics,3,135,13.099945499278881,17.869941198555868,0.38695553677209127,8.814117431640625,26.227204895019533
5,16,physics_residual_xgboost,3,135,15.336552082020562,18.46444832620737,0.34548681383855917,13.484942952791855,29.87252349853516
5,17,nnls_physics,3,64,24.240925401449203,35.12657720029456,0.45697306822577455,15.09550666809082,57.434008026123045
5,17,physics_residual_xgboost,3,64,27.196723163903997,39.250549437574186,0.32198206282265407,19.87872012456258,46.82429863611857
5,18,nnls_physics,3,46,25.51241688106371,31.51106427445741,0.19700452071346863,21.567081451416016,54.04197120666504
5,18,physics_residual_xgboost,3,46,20.93365521448246,29.696689909997637,0.2868136121913546,13.284042119979858,43.95147911707561
5,19,nnls_physics,3,61,25.111567575423443,30.3949746356627,0.1494577240064212,21.581924438476562,48.887020111083984
5,19,physics_residual_xgboost,3,61,17.363161363399747,25.62846809997634,0.395303256481767,14.110279619693756,31.00788084665934
6,0,nnls_physics,2,45,25.091989707946777,38.451321290855745,0.46860557139208736,12.535980224609375,72.92872352600098
6,0,physics_residual_xgboost,2,45,25.41859847263054,39.046027042138405,0.4520408764505759,15.084206899007157,47.623443222045914
6,1,nnls_physics,2,90,16.447384887271458,25.832398865281093,0.48717412865974263,10.969783782958984,27.1731890678406
6,1,physics_residual_xgboost,2,90,16.894251656421908,28.522334892922295,0.3748120472506089,9.547720213731125,33.896655400594085
