table_section,claim_role,analysis_split,scenario,model_name,n_samples,metric_name,metric_value,source_file
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Random Forest,75,P90AE,57.1095,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Random Forest,75,Within_5deg,0.213333,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Random Forest,75,Within_10deg,0.306667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Random Forest,75,Within_15deg,0.48,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Ordinary MLP,75,MAE,17.5238,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Ordinary MLP,75,RMSE,29.3167,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Ordinary MLP,75,R2,0.381082,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Ordinary MLP,75,MedAE,8.3119,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Ordinary MLP,75,P90AE,42.5873,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Ordinary MLP,75,Within_5deg,0.413333,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Ordinary MLP,75,Within_10deg,0.586667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Ordinary MLP,75,Within_15deg,0.693333,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,vOCG,75,MAE,10.7438,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,vOCG,75,RMSE,27.1626,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,vOCG,75,R2,0.468695,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,vOCG,75,MedAE,2.2078,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,vOCG,75,P90AE,26.4723,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,vOCG,75,Within_5deg,0.706667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,vOCG,75,Within_10deg,0.786667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,vOCG,75,Within_15deg,0.866667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Harmonic Mean,75,MAE,11.2866,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Harmonic Mean,75,RMSE,22.8276,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Harmonic Mean,75,R2,0.624749,main_result_table_v3.4_20260518.csv
