record_id,analysis_split,y_true,y_pred_original_all_liquid,y_pred_loo_sfe,delta_y_pred_loo_minus_original,prediction_changed,owens_wendt_original_all_liquid,owens_wendt_loo_sfe,delta_owens_wendt,residual_original_all_liquid,residual_loo_sfe,delta_residual,gate_original_all_liquid,gate_loo_sfe,delta_gate,abs_error_original_all_liquid,abs_error_loo_sfe,pcrnn_forward_recomputed,source_group_id,duplicate_policy
CA0521,source_disjoint_external,106.2,98.484978,93.77120208740234,-4.713775912597654,yes,98.484985,93.77121129580635,-4.713773704193642,-7e-06,-9.208404009086735e-06,-2.208404009086735e-06,0.0,0.0,0.0,7.715022,12.428797912597659,yes,SDX005,unique_or_condition_distinct_keep
CA0522,source_disjoint_external,79.8,85.103577,104.78228759765625,19.67871059765625,yes,85.103584,104.78229187421331,19.678707874213316,-7e-06,-4.2765570640312944e-06,2.7234429359687055e-06,0.0,0.0,0.0,5.303577,24.982287597656253,yes,SDX005,unique_or_condition_distinct_keep
CA0523,source_disjoint_external,116.6,110.066071,84.75851440429688,-25.30755659570312,yes,110.066077,84.75852368707078,-25.30755331292923,-6e-06,-9.282773902441477e-06,-3.2827739024414767e-06,0.0,0.0,0.0,6.533929,31.84148559570312,yes,SDX005,unique_or_condition_distinct_keep
CA0524,source_disjoint_external,101.8,88.082161,85.17119598388672,-2.9109650161132805,yes,88.082168,85.17120024564619,-2.9109677543538055,-7e-06,-4.261759471546611e-06,2.7382405284533887e-06,0.0,0.0,0.0,13.717839,16.62880401611328,yes,SDX005,unique_or_condition_distinct_keep
CA0525,source_disjoint_external,72.7,74.642899,94.8128433227539,20.169944322753906,yes,74.642903,94.81284525401927,20.16994225401926,-5e-06,-1.931265359189638e-06,3.0687346408103626e-06,0.0,0.0,0.0,1.942899,22.112843322753903,yes,SDX005,unique_or_condition_distinct_keep
CA0526,source_disjoint_external,136.4,118.426605,78.98220825195312,-39.44439674804687,yes,114.754227,78.98220999125806,-35.77201700874194,3.672379,-1.7393049347447231e-06,-3.6723807393049346,0.158162,0.0,-0.158162,17.973395,57.41779174804688,yes,SDX005,unique_or_condition_distinct_keep
CA0527,source_disjoint_external,130.5,101.187393,97.14692687988281,-4.040466120117188,yes,101.187404,97.14693161072478,-4.040472389275223,-1.1e-05,-4.7308419652836164e-06,6.269158034716383e-06,0.0,0.0,0.0,29.312607,33.35307312011719,yes,SDX005,unique_or_condition_distinct_keep
CA0528,source_disjoint_external,95.8,95.665405,129.5789337158203,33.913528715820306,yes,95.66541,129.57894647538652,33.91353647538652,-5e-06,-1.2759566203612849e-05,-7.75956620361285e-06,0.0,0.0,0.0,0.134595,33.778933715820315,yes,SDX005,unique_or_condition_distinct_keep
CA0563,source_disjoint_external,118.1,107.494209,113.45848083496094,5.96427183496094,yes,107.494212,113.4584863843651,5.964274384365098,-3e-06,-5.549404164639782e-06,-2.5494041646397817e-06,0.0,0.0,0.0,10.605791,4.641519165039057,yes,SDX008,unique_or_condition_distinct_keep
CA0564,source_disjoint_external,90.0,84.241943,84.79766845703125,0.5557254570312438,yes,84.241946,84.79767064891412,0.5557246489141221,-2e-06,-2.1918828707612192e-06,-1.9188287076121933e-07,0.0,0.0,0.0,5.758057,5.20233154296875,yes,SDX008,unique_or_condition_distinct_keep
CA0565,source_disjoint_external,73.6,69.716202,64.51825714111328,-5.197944858886714,yes,69.716204,64.5182608862258,-5.197943113774201,-2e-06,-3.7451125223242343e-06,-1.7451125223242344e-06,0.0,0.0,0.0,3.883798,9.081742858886713,yes,SDX008,unique_or_condition_distinct_keep
CA0566,source_disjoint_external,24.6,23.749239,18.51517677307129,-5.23406222692871,yes,23.749237,18.51518019628505,-5.2340568037149495,2e-06,-3.4232137622325354e-06,-5.423213762232535e-06,0.0,0.0,0.0,0.850761,6.084823226928712,yes,SDX008,unique_or_condition_distinct_keep
CA0567,source_disjoint_external,13.7,17.005949,18.651243209838867,1.645294209838866,yes,17.005951,18.651243529848657,1.645292529848657,-2e-06,-3.2000978933410806e-07,1.6799902106658918e-06,0.0,0.0,0.0,3.305949,4.951243209838868,yes,SDX008,unique_or_condition_distinct_keep
CA0568,source_disjoint_external,56.3,55.605934,52.912139892578125,-2.6937941074218728,yes,55.605938,52.912143364151426,-2.693794635848576,-4e-06,-3.471573300828368e-06,5.28426699171632e-07,0.0,0.0,0.0,0.694066,3.387860107421872,yes,SDX008,unique_or_condition_distinct_keep
