measurement_id,surface_group_id,source_group_id,liquid_id,contact_angle_deg,contact_angle_type,measurement_method,temperature_K,humidity_percent,pressure_atm,droplet_volume_uL,replicates_n,contact_angle_std_deg,contact_angle_min_deg,contact_angle_max_deg,quality_grade,conflict_flag,solid_total_surface_energy_mJ_m2,solid_dispersion_mJ_m2,solid_polar_mJ_m2,solid_surface_energy_source,solid_surface_energy_source_type,data_extraction_note,record_id,sfe_source_type,new_external_source_flag,target_eligible
CA0053,SFC_09D2365FF128,SRC023,LIQ_0F4168490E,95.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,33.0,32.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0053,assumed_or_estimated,no,diagnostic_only
CA0054,SFC_C657B6B2A8F2,SRC023,LIQ_0F4168490E,98.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,30.0,29.5,0.5,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0054,assumed_or_estimated,no,diagnostic_only
CA0055,SFC_EADE66E24084,SRC023,LIQ_0F4168490E,94.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,32.0,31.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0055,assumed_or_estimated,no,diagnostic_only
CA0056,SFC_7320418E2637,SRC023,LIQ_0F4168490E,96.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,32.0,31.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0056,assumed_or_estimated,no,diagnostic_only
CA0057,SFC_059D01259A34,SRC023,LIQ_0F4168490E,95.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,31.0,30.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0057,assumed_or_estimated,no,diagnostic_only
CA0058,SFC_2F8ECAFB7400,SRC023,LIQ_53310FAFB3,72.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,35.0,32.0,3.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0058,assumed_or_estimated,no,diagnostic_only
CA0059,SFC_09D2365FF128,SRC023,LIQ_53310FAFB3,82.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,33.0,32.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0059,assumed_or_estimated,no,diagnostic_only
CA0060,SFC_C657B6B2A8F2,SRC023,LIQ_53310FAFB3,85.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,30.0,29.5,0.5,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0060,assumed_or_estimated,no,diagnostic_only
CA0061,SFC_EADE66E24084,SRC023,LIQ_53310FAFB3,80.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,32.0,31.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0061,assumed_or_estimated,no,diagnostic_only
CA0062,SFC_7320418E2637,SRC023,LIQ_53310FAFB3,82.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,32.0,31.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0062,assumed_or_estimated,no,diagnostic_only
CA0063,SFC_059D01259A34,SRC023,LIQ_53310FAFB3,81.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,31.0,30.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0063,assumed_or_estimated,no,diagnostic_only
CA0064,SFC_2F8ECAFB7400,SRC023,LIQ_6656B41AB7,48.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,35.0,32.0,3.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0064,assumed_or_estimated,no,diagnostic_only
CA0065,SFC_09D2365FF128,SRC023,LIQ_6656B41AB7,52.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,33.0,32.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0065,assumed_or_estimated,no,diagnostic_only
CA0066,SFC_C657B6B2A8F2,SRC023,LIQ_6656B41AB7,55.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,30.0,29.5,0.5,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0066,assumed_or_estimated,no,diagnostic_only
CA0067,SFC_EADE66E24084,SRC023,LIQ_6656B41AB7,50.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,32.0,31.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0067,assumed_or_estimated,no,diagnostic_only
CA0068,SFC_7320418E2637,SRC023,LIQ_6656B41AB7,52.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,32.0,31.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0068,assumed_or_estimated,no,diagnostic_only
